feature_code,name,type,year,age,sex,number_assessed
S12000026,Scottish Borders,Local Authority,2010/11,All,All,190
S12000026,Scottish Borders,Local Authority,2011/12,All,All,220
S12000026,Scottish Borders,Local Authority,2012/13,All,All,165
S12000026,Scottish Borders,Local Authority,2013/14,All,All,185
S12000026,Scottish Borders,Local Authority,2014/15,All,All,142
S12000026,Scottish Borders,Local Authority,2015/16,All,All,152
S12000026,Scottish Borders,Local Authority,2016/17,All,All,215
S12000026,Scottish Borders,Local Authority,2017/18,All,All,156
S12000026,Scottish Borders,Local Authority,2018/19,All,All,187
S12000005,Clackmannanshire,Local Authority,2006/07,All,All,130
S12000005,Clackmannanshire,Local Authority,2007/08,All,All,116
S12000005,Clackmannanshire,Local Authority,2008/09,All,All,129
S12000005,Clackmannanshire,Local Authority,2009/10,All,All,126
S12000005,Clackmannanshire,Local Authority,2010/11,All,All,162
S12000005,Clackmannanshire,Local Authority,2011/12,All,All,136
S12000005,Clackmannanshire,Local Authority,2012/13,All,All,141
S12000005,Clackmannanshire,Local Authority,2013/14,All,All,144
S12000005,Clackmannanshire,Local Authority,2014/15,All,All,164
S12000005,Clackmannanshire,Local Authority,2015/16,All,All,154
S12000005,Clackmannanshire,Local Authority,2016/17,All,All,141
S12000005,Clackmannanshire,Local Authority,2017/18,All,All,158
S12000005,Clackmannanshire,Local Authority,2018/19,All,All,174
S12000006,Dumfries and Galloway,Local Authority,2006/07,All,All,318
S12000006,Dumfries and Galloway,Local Authority,2007/08,All,All,203
S12000006,Dumfries and Galloway,Local Authority,2008/09,All,All,206
S12000006,Dumfries and Galloway,Local Authority,2009/10,All,All,211
S12000006,Dumfries and Galloway,Local Authority,2010/11,All,All,269
S12000006,Dumfries and Galloway,Local Authority,2011/12,All,All,264
S12000006,Dumfries and Galloway,Local Authority,2012/13,All,All,322
S12000006,Dumfries and Galloway,Local Authority,2013/14,All,All,378
S12000006,Dumfries and Galloway,Local Authority,2014/15,All,All,354
S12000006,Dumfries and Galloway,Local Authority,2015/16,All,All,352
