_id,FinancialYear,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
1321,2013/14,S12000026,"",35 to 39 yrs old,"",All,d,34,"",18.37838,""
1322,2013/14,S12000026,"",40 to 44 yrs old,"",All,d,18,"",9.72973,""
1323,2013/14,S12000026,"",45+ yrs old,"",All,d,23,"",12.43243,""
1324,2013/14,S12000026,"",Unknown,"",All,d,0,"",0,""
1325,2014/15,S12000026,"",Under 20yrs old,"",All,d,6,"",4.22535,""
1326,2014/15,S12000026,"",20 to 24 yrs old,"",All,d,25,"",17.60563,""
1327,2014/15,S12000026,"",25 to 29 yrs old,"",All,d,28,"",19.71831,""
1328,2014/15,S12000026,"",30 to 34 yrs old,"",All,d,36,"",25.35211,""
1329,2014/15,S12000026,"",35 to 39 yrs old,"",All,d,26,"",18.30986,""
1330,2014/15,S12000026,"",40 to 44 yrs old,"",All,d,12,"",8.4507,""
1331,2014/15,S12000026,"",45+ yrs old,"",All,d,9,"",6.33803,""
1332,2014/15,S12000026,"",Unknown,"",All,d,0,"",0,""
1333,2015/16,S12000026,"",Under 20yrs old,"",All,d,7,"",4.60526,""
1334,2015/16,S12000026,"",20 to 24 yrs old,"",All,d,24,"",15.78947,""
1335,2015/16,S12000026,"",25 to 29 yrs old,"",All,d,28,"",18.42105,""
1336,2015/16,S12000026,"",30 to 34 yrs old,"",All,d,31,"",20.39474,""
1337,2015/16,S12000026,"",35 to 39 yrs old,"",All,d,24,"",15.78947,""
1338,2015/16,S12000026,"",40 to 44 yrs old,"",All,d,18,"",11.84211,""
1339,2015/16,S12000026,"",45+ yrs old,"",All,d,20,"",13.15789,""
1340,2015/16,S12000026,"",Unknown,"",All,d,0,"",0,""
1341,2016/17,S12000026,"",Under 20yrs old,"",All,d,8,"",3.72093,""
1342,2016/17,S12000026,"",20 to 24 yrs old,"",All,d,20,"",9.30233,""
1343,2016/17,S12000026,"",25 to 29 yrs old,"",All,d,35,"",16.27907,""
1344,2016/17,S12000026,"",30 to 34 yrs old,"",All,d,41,"",19.06977,""
1345,2016/17,S12000026,"",35 to 39 yrs old,"",All,d,44,"",20.46512,""
1346,2016/17,S12000026,"",40 to 44 yrs old,"",All,d,30,"",13.95349,""
1347,2016/17,S12000026,"",45+ yrs old,"",All,d,37,"",17.2093,""
1348,2016/17,S12000026,"",Unknown,"",All,d,0,"",0,""
1349,2017/18,S12000026,"",Under 20yrs old,"",All,d,8,"",5.12821,""
1350,2017/18,S12000026,"",20 to 24 yrs old,"",All,d,22,"",14.10256,""
1351,2017/18,S12000026,"",25 to 29 yrs old,"",All,d,33,"",21.15385,""
1352,2017/18,S12000026,"",30 to 34 yrs old,"",All,d,33,"",21.15385,""
1353,2017/18,S12000026,"",35 to 39 yrs old,"",All,d,24,"",15.38462,""
1354,2017/18,S12000026,"",40 to 44 yrs old,"",All,d,18,"",11.53846,""
1355,2017/18,S12000026,"",45+ yrs old,"",All,d,18,"",11.53846,""
1356,2017/18,S12000026,"",Unknown,"",All,d,0,"",0,""
1357,2018/19,S12000026,"",Under 20yrs old,"",All,d,6,"",3.20856,""
1358,2018/19,S12000026,"",20 to 24 yrs old,"",All,d,26,"",13.90374,""
1359,2018/19,S12000026,"",25 to 29 yrs old,"",All,d,37,"",19.7861,""
1360,2018/19,S12000026,"",30 to 34 yrs old,"",All,d,31,"",16.57754,""
1361,2018/19,S12000026,"",35 to 39 yrs old,"",All,d,41,"",21.92513,""
1362,2018/19,S12000026,"",40 to 44 yrs old,"",All,d,30,"",16.04278,""
1363,2018/19,S12000026,"",45+ yrs old,"",All,d,16,"",8.55615,""
1364,2018/19,S12000026,"",Unknown,"",All,d,0,"",0,""
1365,2006/07,S12000005,"",Under 20yrs old,"",All,d,11,"",8.46154,""
1366,2006/07,S12000005,"",20 to 24 yrs old,"",All,d,24,"",18.46154,""
1367,2006/07,S12000005,"",25 to 29 yrs old,"",All,d,24,"",18.46154,""
1368,2006/07,S12000005,"",30 to 34 yrs old,"",All,d,24,"",18.46154,""
1369,2006/07,S12000005,"",35 to 39 yrs old,"",All,d,26,"",20,""
1370,2006/07,S12000005,"",40 to 44 yrs old,"",All,d,15,"",11.53846,""
1371,2006/07,S12000005,"",45+ yrs old,"",All,d,6,"",4.61538,""
1372,2006/07,S12000005,"",Unknown,"",All,d,0,"",0,""
1373,2007/08,S12000005,"",Under 20yrs old,"",All,d,7,"",6.03448,""
1374,2007/08,S12000005,"",20 to 24 yrs old,"",All,d,17,"",14.65517,""
1375,2007/08,S12000005,"",25 to 29 yrs old,"",All,d,33,"",28.44828,""
1376,2007/08,S12000005,"",30 to 34 yrs old,"",All,d,21,"",18.10345,""
1377,2007/08,S12000005,"",35 to 39 yrs old,"",All,d,27,"",23.27586,""
1378,2007/08,S12000005,"",40 to 44 yrs old,"",All,d,6,"",5.17241,""
1379,2007/08,S12000005,"",45+ yrs old,"",All,d,5,"",4.31034,""
1380,2007/08,S12000005,"",Unknown,"",All,d,0,"",0,""
1381,2008/09,S12000005,"",Under 20yrs old,"",All,d,8,"",6.20155,""
1382,2008/09,S12000005,"",20 to 24 yrs old,"",All,d,16,"",12.4031,""
1383,2008/09,S12000005,"",25 to 29 yrs old,"",All,d,44,"",34.10853,""
1384,2008/09,S12000005,"",30 to 34 yrs old,"",All,d,32,"",24.8062,""
1385,2008/09,S12000005,"",35 to 39 yrs old,"",All,d,16,"",12.4031,""
1386,2008/09,S12000005,"",40 to 44 yrs old,"",All,d,7,"",5.42636,""
1387,2008/09,S12000005,"",45+ yrs old,"",All,d,6,"",4.65116,""
1388,2008/09,S12000005,"",Unknown,"",All,d,0,"",0,""
1389,2009/10,S12000005,"",Under 20yrs old,"",All,d,17,"",13.49206,""
1390,2009/10,S12000005,"",20 to 24 yrs old,"",All,d,25,"",19.84127,""
1391,2009/10,S12000005,"",25 to 29 yrs old,"",All,d,23,"",18.25397,""
1392,2009/10,S12000005,"",30 to 34 yrs old,"",All,d,27,"",21.42857,""
1393,2009/10,S12000005,"",35 to 39 yrs old,"",All,d,20,"",15.87302,""
1394,2009/10,S12000005,"",40 to 44 yrs old,"",All,d,,c,,c
1395,2009/10,S12000005,"",45+ yrs old,"",All,d,,c,,c
1396,2009/10,S12000005,"",Unknown,"",All,d,0,"",0,""
1397,2010/11,S12000005,"",Under 20yrs old,"",All,d,30,"",18.51852,""
1398,2010/11,S12000005,"",20 to 24 yrs old,"",All,d,27,"",16.66667,""
1399,2010/11,S12000005,"",25 to 29 yrs old,"",All,d,30,"",18.51852,""
1400,2010/11,S12000005,"",30 to 34 yrs old,"",All,d,37,"",22.83951,""
1401,2010/11,S12000005,"",35 to 39 yrs old,"",All,d,21,"",12.96296,""
1402,2010/11,S12000005,"",40 to 44 yrs old,"",All,d,,c,,c
1403,2010/11,S12000005,"",45+ yrs old,"",All,d,,c,,c
1404,2010/11,S12000005,"",Unknown,"",All,d,0,"",0,""
1405,2011/12,S12000005,"",Under 20yrs old,"",All,d,30,"",22.05882,""
1406,2011/12,S12000005,"",20 to 24 yrs old,"",All,d,13,"",9.55882,""
1407,2011/12,S12000005,"",25 to 29 yrs old,"",All,d,28,"",20.58824,""
1408,2011/12,S12000005,"",30 to 34 yrs old,"",All,d,29,"",21.32353,""
1409,2011/12,S12000005,"",35 to 39 yrs old,"",All,d,18,"",13.23529,""
1410,2011/12,S12000005,"",40 to 44 yrs old,"",All,d,11,"",8.08824,""
1411,2011/12,S12000005,"",45+ yrs old,"",All,d,7,"",5.14706,""
1412,2011/12,S12000005,"",Unknown,"",All,d,0,"",0,""
1413,2012/13,S12000005,"",Under 20yrs old,"",All,d,27,"",19.14894,""
1414,2012/13,S12000005,"",20 to 24 yrs old,"",All,d,24,"",17.02128,""
1415,2012/13,S12000005,"",25 to 29 yrs old,"",All,d,27,"",19.14894,""
1416,2012/13,S12000005,"",30 to 34 yrs old,"",All,d,23,"",16.31206,""
1417,2012/13,S12000005,"",35 to 39 yrs old,"",All,d,18,"",12.76596,""
1418,2012/13,S12000005,"",40 to 44 yrs old,"",All,d,12,"",8.51064,""
1419,2012/13,S12000005,"",45+ yrs old,"",All,d,10,"",7.0922,""
1420,2012/13,S12000005,"",Unknown,"",All,d,0,"",0,""
1421,2013/14,S12000005,"",Under 20yrs old,"",All,d,17,"",11.80556,""
1422,2013/14,S12000005,"",20 to 24 yrs old,"",All,d,24,"",16.66667,""
1423,2013/14,S12000005,"",25 to 29 yrs old,"",All,d,30,"",20.83333,""
1424,2013/14,S12000005,"",30 to 34 yrs old,"",All,d,28,"",19.44444,""
1425,2013/14,S12000005,"",35 to 39 yrs old,"",All,d,24,"",16.66667,""
1426,2013/14,S12000005,"",40 to 44 yrs old,"",All,d,8,"",5.55556,""
1427,2013/14,S12000005,"",45+ yrs old,"",All,d,13,"",9.02778,""
1428,2013/14,S12000005,"",Unknown,"",All,d,0,"",0,""
1429,2014/15,S12000005,"",Under 20yrs old,"",All,d,8,"",4.87805,""
1430,2014/15,S12000005,"",20 to 24 yrs old,"",All,d,18,"",10.97561,""
1431,2014/15,S12000005,"",25 to 29 yrs old,"",All,d,30,"",18.29268,""
1432,2014/15,S12000005,"",30 to 34 yrs old,"",All,d,36,"",21.95122,""
1433,2014/15,S12000005,"",35 to 39 yrs old,"",All,d,31,"",18.90244,""
1434,2014/15,S12000005,"",40 to 44 yrs old,"",All,d,26,"",15.85366,""
1435,2014/15,S12000005,"",45+ yrs old,"",All,d,15,"",9.14634,""
1436,2014/15,S12000005,"",Unknown,"",All,d,0,"",0,""
1437,2015/16,S12000005,"",Under 20yrs old,"",All,d,24,"",15.58442,""
1438,2015/16,S12000005,"",20 to 24 yrs old,"",All,d,16,"",10.38961,""
1439,2015/16,S12000005,"",25 to 29 yrs old,"",All,d,26,"",16.88312,""
1440,2015/16,S12000005,"",30 to 34 yrs old,"",All,d,29,"",18.83117,""
1441,2015/16,S12000005,"",35 to 39 yrs old,"",All,d,24,"",15.58442,""
1442,2015/16,S12000005,"",40 to 44 yrs old,"",All,d,19,"",12.33766,""
1443,2015/16,S12000005,"",45+ yrs old,"",All,d,16,"",10.38961,""
1444,2015/16,S12000005,"",Unknown,"",All,d,0,"",0,""
1445,2016/17,S12000005,"",Under 20yrs old,"",All,d,15,"",10.6383,""
1446,2016/17,S12000005,"",20 to 24 yrs old,"",All,d,18,"",12.76596,""
1447,2016/17,S12000005,"",25 to 29 yrs old,"",All,d,24,"",17.02128,""
1448,2016/17,S12000005,"",30 to 34 yrs old,"",All,d,35,"",24.8227,""
1449,2016/17,S12000005,"",35 to 39 yrs old,"",All,d,17,"",12.05674,""
1450,2016/17,S12000005,"",40 to 44 yrs old,"",All,d,11,"",7.80142,""
1451,2016/17,S12000005,"",45+ yrs old,"",All,d,20,"",14.1844,""
1452,2016/17,S12000005,"",Unknown,"",All,d,1,"",0.70922,""
1453,2017/18,S12000005,"",Under 20yrs old,"",All,d,20,"",12.65823,""
1454,2017/18,S12000005,"",20 to 24 yrs old,"",All,d,19,"",12.02532,""
1455,2017/18,S12000005,"",25 to 29 yrs old,"",All,d,29,"",18.35443,""
1456,2017/18,S12000005,"",30 to 34 yrs old,"",All,d,35,"",22.1519,""
1457,2017/18,S12000005,"",35 to 39 yrs old,"",All,d,25,"",15.82278,""
1458,2017/18,S12000005,"",40 to 44 yrs old,"",All,d,10,"",6.32911,""
1459,2017/18,S12000005,"",45+ yrs old,"",All,d,19,"",12.02532,""
1460,2017/18,S12000005,"",Unknown,"",All,d,1,"",0.63291,""
1461,2018/19,S12000005,"",Under 20yrs old,"",All,d,12,"",6.89655,""
1462,2018/19,S12000005,"",20 to 24 yrs old,"",All,d,22,"",12.64368,""
1463,2018/19,S12000005,"",25 to 29 yrs old,"",All,d,35,"",20.11494,""
1464,2018/19,S12000005,"",30 to 34 yrs old,"",All,d,40,"",22.98851,""
1465,2018/19,S12000005,"",35 to 39 yrs old,"",All,d,27,"",15.51724,""
1466,2018/19,S12000005,"",40 to 44 yrs old,"",All,d,16,"",9.1954,""
1467,2018/19,S12000005,"",45+ yrs old,"",All,d,22,"",12.64368,""
1468,2018/19,S12000005,"",Unknown,"",All,d,0,"",0,""
1469,2006/07,S12000006,"",Under 20yrs old,"",All,d,34,"",10.69182,""
1470,2006/07,S12000006,"",20 to 24 yrs old,"",All,d,69,"",21.69811,""
1471,2006/07,S12000006,"",25 to 29 yrs old,"",All,d,79,"",24.84277,""
1472,2006/07,S12000006,"",30 to 34 yrs old,"",All,d,64,"",20.12579,""
1473,2006/07,S12000006,"",35 to 39 yrs old,"",All,d,44,"",13.83648,""
1474,2006/07,S12000006,"",40 to 44 yrs old,"",All,d,19,"",5.97484,""
1475,2006/07,S12000006,"",45+ yrs old,"",All,d,9,"",2.83019,""
1476,2006/07,S12000006,"",Unknown,"",All,d,0,"",0,""
1477,2007/08,S12000006,"",Under 20yrs old,"",All,d,18,"",8.867,""
1478,2007/08,S12000006,"",20 to 24 yrs old,"",All,d,53,"",26.10837,""
1479,2007/08,S12000006,"",25 to 29 yrs old,"",All,d,41,"",20.19704,""
1480,2007/08,S12000006,"",30 to 34 yrs old,"",All,d,35,"",17.24138,""
1481,2007/08,S12000006,"",35 to 39 yrs old,"",All,d,34,"",16.74877,""
1482,2007/08,S12000006,"",40 to 44 yrs old,"",All,d,14,"",6.89655,""
1483,2007/08,S12000006,"",45+ yrs old,"",All,d,8,"",3.94089,""
1484,2007/08,S12000006,"",Unknown,"",All,d,0,"",0,""
1485,2008/09,S12000006,"",Under 20yrs old,"",All,d,14,"",6.79612,""
1486,2008/09,S12000006,"",20 to 24 yrs old,"",All,d,50,"",24.27184,""
1487,2008/09,S12000006,"",25 to 29 yrs old,"",All,d,45,"",21.84466,""
1488,2008/09,S12000006,"",30 to 34 yrs old,"",All,d,39,"",18.93204,""
1489,2008/09,S12000006,"",35 to 39 yrs old,"",All,d,35,"",16.99029,""
1490,2008/09,S12000006,"",40 to 44 yrs old,"",All,d,15,"",7.28155,""
1491,2008/09,S12000006,"",45+ yrs old,"",All,d,8,"",3.8835,""
1492,2008/09,S12000006,"",Unknown,"",All,d,0,"",0,""
1493,2009/10,S12000006,"",Under 20yrs old,"",All,d,17,"",8.05687,""
1494,2009/10,S12000006,"",20 to 24 yrs old,"",All,d,32,"",15.16588,""
1495,2009/10,S12000006,"",25 to 29 yrs old,"",All,d,44,"",20.85308,""
1496,2009/10,S12000006,"",30 to 34 yrs old,"",All,d,45,"",21.32701,""
1497,2009/10,S12000006,"",35 to 39 yrs old,"",All,d,38,"",18.00948,""
1498,2009/10,S12000006,"",40 to 44 yrs old,"",All,d,26,"",12.32227,""
1499,2009/10,S12000006,"",45+ yrs old,"",All,d,9,"",4.2654,""
1500,2009/10,S12000006,"",Unknown,"",All,d,0,"",0,""
1501,2010/11,S12000006,"",Under 20yrs old,"",All,d,13,"",4.83271,""
1502,2010/11,S12000006,"",20 to 24 yrs old,"",All,d,45,"",16.72862,""
1503,2010/11,S12000006,"",25 to 29 yrs old,"",All,d,58,"",21.56134,""
1504,2010/11,S12000006,"",30 to 34 yrs old,"",All,d,62,"",23.04833,""
1505,2010/11,S12000006,"",35 to 39 yrs old,"",All,d,51,"",18.95911,""
1506,2010/11,S12000006,"",40 to 44 yrs old,"",All,d,21,"",7.80669,""
1507,2010/11,S12000006,"",45+ yrs old,"",All,d,19,"",7.0632,""
1508,2010/11,S12000006,"",Unknown,"",All,d,0,"",0,""
1509,2011/12,S12000006,"",Under 20yrs old,"",All,d,13,"",4.92424,""
1510,2011/12,S12000006,"",20 to 24 yrs old,"",All,d,52,"",19.69697,""
1511,2011/12,S12000006,"",25 to 29 yrs old,"",All,d,62,"",23.48485,""
1512,2011/12,S12000006,"",30 to 34 yrs old,"",All,d,54,"",20.45455,""
1513,2011/12,S12000006,"",35 to 39 yrs old,"",All,d,40,"",15.15152,""
1514,2011/12,S12000006,"",40 to 44 yrs old,"",All,d,25,"",9.4697,""
1515,2011/12,S12000006,"",45+ yrs old,"",All,d,18,"",6.81818,""
1516,2011/12,S12000006,"",Unknown,"",All,d,0,"",0,""
1517,2012/13,S12000006,"",Under 20yrs old,"",All,d,21,"",6.52174,""
1518,2012/13,S12000006,"",20 to 24 yrs old,"",All,d,51,"",15.83851,""
1519,2012/13,S12000006,"",25 to 29 yrs old,"",All,d,73,"",22.67081,""
1520,2012/13,S12000006,"",30 to 34 yrs old,"",All,d,76,"",23.60248,""
1521,2012/13,S12000006,"",35 to 39 yrs old,"",All,d,46,"",14.28571,""
1522,2012/13,S12000006,"",40 to 44 yrs old,"",All,d,33,"",10.24845,""
1523,2012/13,S12000006,"",45+ yrs old,"",All,d,22,"",6.8323,""
1524,2012/13,S12000006,"",Unknown,"",All,d,0,"",0,""
1525,2013/14,S12000006,"",Under 20yrs old,"",All,d,36,"",9.52381,""
1526,2013/14,S12000006,"",20 to 24 yrs old,"",All,d,43,"",11.37566,""
1527,2013/14,S12000006,"",25 to 29 yrs old,"",All,d,82,"",21.69312,""
1528,2013/14,S12000006,"",30 to 34 yrs old,"",All,d,87,"",23.01587,""
1529,2013/14,S12000006,"",35 to 39 yrs old,"",All,d,52,"",13.75661,""
1530,2013/14,S12000006,"",40 to 44 yrs old,"",All,d,38,"",10.05291,""
1531,2013/14,S12000006,"",45+ yrs old,"",All,d,40,"",10.58201,""
1532,2013/14,S12000006,"",Unknown,"",All,d,0,"",0,""
1533,2014/15,S12000006,"",Under 20yrs old,"",All,d,34,"",9.60452,""
1534,2014/15,S12000006,"",20 to 24 yrs old,"",All,d,48,"",13.55932,""
1535,2014/15,S12000006,"",25 to 29 yrs old,"",All,d,66,"",18.64407,""
1536,2014/15,S12000006,"",30 to 34 yrs old,"",All,d,72,"",20.33898,""
1537,2014/15,S12000006,"",35 to 39 yrs old,"",All,d,55,"",15.53672,""
1538,2014/15,S12000006,"",40 to 44 yrs old,"",All,d,45,"",12.71186,""
1539,2014/15,S12000006,"",45+ yrs old,"",All,d,34,"",9.60452,""
1540,2014/15,S12000006,"",Unknown,"",All,d,0,"",0,""
1541,2015/16,S12000006,"",Under 20yrs old,"",All,d,31,"",8.80682,""
1542,2015/16,S12000006,"",20 to 24 yrs old,"",All,d,35,"",9.94318,""
1543,2015/16,S12000006,"",25 to 29 yrs old,"",All,d,70,"",19.88636,""
1544,2015/16,S12000006,"",30 to 34 yrs old,"",All,d,72,"",20.45455,""
1545,2015/16,S12000006,"",35 to 39 yrs old,"",All,d,64,"",18.18182,""
1546,2015/16,S12000006,"",40 to 44 yrs old,"",All,d,41,"",11.64773,""
1547,2015/16,S12000006,"",45+ yrs old,"",All,d,39,"",11.07955,""
1548,2015/16,S12000006,"",Unknown,"",All,d,0,"",0,""
1549,2016/17,S12000006,"",Under 20yrs old,"",All,d,21,"",6.34441,""
1550,2016/17,S12000006,"",20 to 24 yrs old,"",All,d,37,"",11.17825,""
1551,2016/17,S12000006,"",25 to 29 yrs old,"",All,d,57,"",17.22054,""
1552,2016/17,S12000006,"",30 to 34 yrs old,"",All,d,69,"",20.84592,""
1553,2016/17,S12000006,"",35 to 39 yrs old,"",All,d,64,"",19.33535,""
1554,2016/17,S12000006,"",40 to 44 yrs old,"",All,d,40,"",12.08459,""
1555,2016/17,S12000006,"",45+ yrs old,"",All,d,43,"",12.99094,""
1556,2016/17,S12000006,"",Unknown,"",All,d,0,"",0,""
1557,2017/18,S12000006,"",Under 20yrs old,"",All,d,15,"",4.58716,""
1558,2017/18,S12000006,"",20 to 24 yrs old,"",All,d,38,"",11.6208,""
1559,2017/18,S12000006,"",25 to 29 yrs old,"",All,d,47,"",14.37309,""
1560,2017/18,S12000006,"",30 to 34 yrs old,"",All,d,82,"",25.07645,""
1561,2017/18,S12000006,"",35 to 39 yrs old,"",All,d,72,"",22.01835,""
1562,2017/18,S12000006,"",40 to 44 yrs old,"",All,d,36,"",11.00917,""
1563,2017/18,S12000006,"",45+ yrs old,"",All,d,37,"",11.31498,""
1564,2017/18,S12000006,"",Unknown,"",All,d,0,"",0,""
1565,2018/19,S12000006,"",Under 20yrs old,"",All,d,16,"",4.93827,""
1566,2018/19,S12000006,"",20 to 24 yrs old,"",All,d,39,"",12.03704,""
1567,2018/19,S12000006,"",25 to 29 yrs old,"",All,d,48,"",14.81481,""
1568,2018/19,S12000006,"",30 to 34 yrs old,"",All,d,65,"",20.06173,""
1569,2018/19,S12000006,"",35 to 39 yrs old,"",All,d,78,"",24.07407,""
1570,2018/19,S12000006,"",40 to 44 yrs old,"",All,d,30,"",9.25926,""
1571,2018/19,S12000006,"",45+ yrs old,"",All,d,48,"",14.81481,""
1572,2018/19,S12000006,"",Unknown,"",All,d,0,"",0,""
1573,2006/07,S12000045,"",Under 20yrs old,"",All,d,,c,,c
1574,2006/07,S12000045,"",20 to 24 yrs old,"",All,d,,c,,c
1575,2006/07,S12000045,"",25 to 29 yrs old,"",All,d,20,"",29.85075,""
1576,2006/07,S12000045,"",30 to 34 yrs old,"",All,d,13,"",19.40299,""
1577,2006/07,S12000045,"",35 to 39 yrs old,"",All,d,13,"",19.40299,""
1578,2006/07,S12000045,"",40 to 44 yrs old,"",All,d,,c,,c
1579,2006/07,S12000045,"",45+ yrs old,"",All,d,,c,,c
1580,2006/07,S12000045,"",Unknown,"",All,d,0,"",0,""
1581,2007/08,S12000045,"",Under 20yrs old,"",All,d,5,"",5.20833,""
1582,2007/08,S12000045,"",20 to 24 yrs old,"",All,d,14,"",14.58333,""
1583,2007/08,S12000045,"",25 to 29 yrs old,"",All,d,25,"",26.04167,""
1584,2007/08,S12000045,"",30 to 34 yrs old,"",All,d,18,"",18.75,""
1585,2007/08,S12000045,"",35 to 39 yrs old,"",All,d,12,"",12.5,""
1586,2007/08,S12000045,"",40 to 44 yrs old,"",All,d,11,"",11.45833,""
1587,2007/08,S12000045,"",45+ yrs old,"",All,d,11,"",11.45833,""
1588,2007/08,S12000045,"",Unknown,"",All,d,0,"",0,""
1589,2008/09,S12000045,"",Under 20yrs old,"",All,d,12,"",10.52632,""
1590,2008/09,S12000045,"",20 to 24 yrs old,"",All,d,5,"",4.38596,""
1591,2008/09,S12000045,"",25 to 29 yrs old,"",All,d,25,"",21.92982,""
1592,2008/09,S12000045,"",30 to 34 yrs old,"",All,d,36,"",31.57895,""
1593,2008/09,S12000045,"",35 to 39 yrs old,"",All,d,18,"",15.78947,""
1594,2008/09,S12000045,"",40 to 44 yrs old,"",All,d,11,"",9.64912,""
1595,2008/09,S12000045,"",45+ yrs old,"",All,d,7,"",6.14035,""
1596,2008/09,S12000045,"",Unknown,"",All,d,0,"",0,""
1597,2009/10,S12000045,"",Under 20yrs old,"",All,d,,c,,c
1598,2009/10,S12000045,"",20 to 24 yrs old,"",All,d,,c,,c
1599,2009/10,S12000045,"",25 to 29 yrs old,"",All,d,14,"",20.58824,""
1600,2009/10,S12000045,"",30 to 34 yrs old,"",All,d,17,"",25,""
1601,2009/10,S12000045,"",35 to 39 yrs old,"",All,d,12,"",17.64706,""
1602,2009/10,S12000045,"",40 to 44 yrs old,"",All,d,,c,,c
1603,2009/10,S12000045,"",45+ yrs old,"",All,d,,c,,c
1604,2009/10,S12000045,"",Unknown,"",All,d,0,"",0,""
1605,2010/11,S12000045,"",Under 20yrs old,"",All,d,,c,,c
1606,2010/11,S12000045,"",20 to 24 yrs old,"",All,d,,c,,c
1607,2010/11,S12000045,"",25 to 29 yrs old,"",All,d,9,"",16.66667,""
1608,2010/11,S12000045,"",30 to 34 yrs old,"",All,d,13,"",24.07407,""
1609,2010/11,S12000045,"",35 to 39 yrs old,"",All,d,7,"",12.96296,""
1610,2010/11,S12000045,"",40 to 44 yrs old,"",All,d,7,"",12.96296,""
1611,2010/11,S12000045,"",45+ yrs old,"",All,d,7,"",12.96296,""
1612,2010/11,S12000045,"",Unknown,"",All,d,0,"",0,""
1613,2011/12,S12000045,"",Under 20yrs old,"",All,d,10,"",8.69565,""
1614,2011/12,S12000045,"",20 to 24 yrs old,"",All,d,14,"",12.17391,""
1615,2011/12,S12000045,"",25 to 29 yrs old,"",All,d,15,"",13.04348,""
1616,2011/12,S12000045,"",30 to 34 yrs old,"",All,d,35,"",30.43478,""
1617,2011/12,S12000045,"",35 to 39 yrs old,"",All,d,14,"",12.17391,""
1618,2011/12,S12000045,"",40 to 44 yrs old,"",All,d,17,"",14.78261,""
1619,2011/12,S12000045,"",45+ yrs old,"",All,d,10,"",8.69565,""
1620,2011/12,S12000045,"",Unknown,"",All,d,0,"",0,""
1621,2012/13,S12000045,"",Under 20yrs old,"",All,d,,c,,c
1622,2012/13,S12000045,"",20 to 24 yrs old,"",All,d,,c,,c
1623,2012/13,S12000045,"",25 to 29 yrs old,"",All,d,26,"",19.69697,""
1624,2012/13,S12000045,"",30 to 34 yrs old,"",All,d,21,"",15.90909,""
1625,2012/13,S12000045,"",35 to 39 yrs old,"",All,d,29,"",21.9697,""
1626,2012/13,S12000045,"",40 to 44 yrs old,"",All,d,22,"",16.66667,""
1627,2012/13,S12000045,"",45+ yrs old,"",All,d,18,"",13.63636,""
1628,2012/13,S12000045,"",Unknown,"",All,d,0,"",0,""
1629,2013/14,S12000045,"",Under 20yrs old,"",All,d,,c,,c
1630,2013/14,S12000045,"",20 to 24 yrs old,"",All,d,,c,,c
1631,2013/14,S12000045,"",25 to 29 yrs old,"",All,d,20,"",20,""
1632,2013/14,S12000045,"",30 to 34 yrs old,"",All,d,19,"",19,""
1633,2013/14,S12000045,"",35 to 39 yrs old,"",All,d,24,"",24,""
1634,2013/14,S12000045,"",40 to 44 yrs old,"",All,d,15,"",15,""
1635,2013/14,S12000045,"",45+ yrs old,"",All,d,11,"",11,""
1636,2013/14,S12000045,"",Unknown,"",All,d,0,"",0,""
1637,2014/15,S12000045,"",Under 20yrs old,"",All,d,7,"",8.33333,""
1638,2014/15,S12000045,"",20 to 24 yrs old,"",All,d,13,"",15.47619,""
1639,2014/15,S12000045,"",25 to 29 yrs old,"",All,d,18,"",21.42857,""
1640,2014/15,S12000045,"",30 to 34 yrs old,"",All,d,10,"",11.90476,""
1641,2014/15,S12000045,"",35 to 39 yrs old,"",All,d,10,"",11.90476,""
1642,2014/15,S12000045,"",40 to 44 yrs old,"",All,d,10,"",11.90476,""
1643,2014/15,S12000045,"",45+ yrs old,"",All,d,16,"",19.04762,""
1644,2014/15,S12000045,"",Unknown,"",All,d,0,"",0,""
1645,2015/16,S12000045,"",Under 20yrs old,"",All,d,,c,,c
1646,2015/16,S12000045,"",20 to 24 yrs old,"",All,d,,c,,c
1647,2015/16,S12000045,"",25 to 29 yrs old,"",All,d,,c,,c
1648,2015/16,S12000045,"",30 to 34 yrs old,"",All,d,7,"",21.875,""
1649,2015/16,S12000045,"",35 to 39 yrs old,"",All,d,10,"",31.25,""
1650,2015/16,S12000045,"",40 to 44 yrs old,"",All,d,,c,,c
1651,2015/16,S12000045,"",45+ yrs old,"",All,d,,c,,c
1652,2015/16,S12000045,"",Unknown,"",All,d,0,"",0,""
1653,2016/17,S12000045,"",Under 20yrs old,"",All,d,,c,,c
1654,2016/17,S12000045,"",20 to 24 yrs old,"",All,d,,c,,c
1655,2016/17,S12000045,"",25 to 29 yrs old,"",All,d,6,"",14.63415,""
1656,2016/17,S12000045,"",30 to 34 yrs old,"",All,d,7,"",17.07317,""
1657,2016/17,S12000045,"",35 to 39 yrs old,"",All,d,6,"",14.63415,""
1658,2016/17,S12000045,"",40 to 44 yrs old,"",All,d,5,"",12.19512,""
1659,2016/17,S12000045,"",45+ yrs old,"",All,d,8,"",19.5122,""
1660,2016/17,S12000045,"",Unknown,"",All,d,0,"",0,""
1661,2017/18,S12000045,"",Under 20yrs old,"",All,d,5,"",7.46269,""
